Year,HGV_HVO_Adoption (S2),Vans_BEV_Adoption (S3),Vans_WTW_Reduction (S3)
2002,0.0,0.0,0.0
2003,0.0,0.0,0.0
2004,0.0,0.0,0.0
2005,0.0,0.0,0.0
2006,0.0,0.0,0.0
2007,0.0,0.0,0.0
2008,0.0,0.0,0.0
2009,0.0,0.0,0.0
2010,0.0,0.0,0.0
2011,0.0,0.0,0.0
2012,0.0,0.0,0.0
2013,0.0,0.0,0.0
2014,0.0,0.0,0.0
2015,0.0,0.0,0.0
2016,0.0,0.0,0.0
2017,0.0,0.0,0.0
2018,0.0,0.0,0.0
2019,0.0,0.0,0.0
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.6
2025,0.0,0.038461538461538464,0.6318181818181818
2026,0.05333333333333334,0.07692307692307693,0.6636363636363636
2027,0.10666666666666667,0.11538461538461539,0.6954545454545454
2028,0.16,0.15384615384615385,0.7272727272727273
2029,0.21333333333333335,0.19230769230769232,0.759090909090909
2030,0.26666666666666666,0.23076923076923078,0.7909090909090909
2031,0.32,0.2692307692307693,0.8227272727272728
2032,0.37333333333333335,0.3076923076923077,0.8545454545454545
2033,0.4266666666666667,0.34615384615384615,0.8863636363636362
2034,0.48000000000000004,0.38461538461538464,0.9181818181818181
2035,0.5333333333333333,0.42307692307692313,0.95
2036,0.5866666666666667,0.46153846153846156,0.95
2037,0.64,0.5,0.9521428571428571
2038,0.6933333333333334,0.5384615384615385,0.9542857142857143
2039,0.7466666666666667,0.576923076923077,0.9564285714285714
2040,0.8,0.6153846153846154,0.9585714285714285
2041,0.8,0.6538461538461539,0.9607142857142856
2042,0.8,0.6923076923076923,0.9628571428571429
2043,0.8,0.7307692307692308,0.965
2044,0.8,0.7692307692307693,0.9671428571428571
2045,0.8,0.8076923076923077,0.9692857142857143
2046,0.8,0.8461538461538463,0.9714285714285714
2047,0.8,0.8846153846153847,0.9735714285714285
2048,0.8,0.9230769230769231,0.9757142857142856
2049,0.8,0.9615384615384616,0.9778571428571429
2050,0.8,1.0,0.98
